EDFEE  Scheduling

Start@	TskName	FreqMHz	ExecTim	Energy
 1	 w4	 918	 74	 33.08J	
 75	 w2	 1188	 40	 25.0J	
 115	 w5	 1188	 35	 21.88J	
 150	 w3	 1188	 50	 31.25J	
 200	 w4	 918	 20	 8.94J	
 220	 w1	 1188	 53	 33.13J	
 273	 w4	 918	 27	 12.07J	
 300	 w4	 918	 27	 12.07J	
 327	 w2	 1188	 40	 25.0J	
 367	 w3	 1188	 33	 20.63J	
 400	 w3	 1188	 21	 13.13J	
 421	 w4	 918	 19	 8.49J	
 440	 w5	 1188	 35	 21.88J	
 475	 w4	 918	 25	 11.18J	
 500	 w4	 918	 20	 8.94J	
 520	 w4	 918	 10	 4.47J	
 530	 w2	 1188	 40	 25.0J	
 570	 w3	 1188	 30	 18.75J	
 600	 w4	 918	 60	 26.82J	
 660	 w4	 918	 14	 6.26J	
 674	 w2	 1188	 40	 25.0J	
 714	 w5	 1188	 35	 21.88J	
 749	 w3	 1188	 51	 31.88J	
 800	 w4	 918	 74	 33.08J	
 874	 w3	 1188	 6	 3.75J	
 880	 w3	 1188	 17	 10.63J	
 897	 w1	 1188	 3	 1.88J	
 900	 w1	 1188	 50	 31.25J	
 950	 w2	 1188	 40	 25.0J	
 990	 w5	 1188	 10	 6.25J	




















