RMEE  Scheduling

Start@	TskName	FreqMHz	ExecTim	Energy
 1	 w4	 918	 74	 33.08J	
 75	 w2	 1188	 40	 25.0J	
 115	 w5	 1188	 35	 21.88J	
 150	 w3	 1188	 50	 31.25J	
 200	 w4	 918	 20	 8.94J	
 220	 w2	 1188	 40	 25.0J	
 260	 w1	 1188	 40	 25.0J	
 300	 w5	 1188	 35	 21.88J	
 335	 w4	 918	 54	 24.14J	
 389	 w3	 1188	 11	 6.88J	
 400	 w4	 918	 40	 17.88J	
 440	 w2	 1188	 40	 25.0J	
 480	 w4	 918	 20	 8.94J	
 500	 w3	 1188	 20	 12.5J	
 520	 w1	 1188	 66	 41.25J	
 586	 w4	 918	 14	 6.26J	
 600	 w4	 918	 60	 26.82J	
 660	 w2	 1188	 40	 25.0J	
 700	 w5	 1188	 35	 21.88J	
 735	 w4	 918	 14	 6.26J	
 749	 w3	 1188	 51	 31.88J	
 800	 w4	 918	 74	 33.08J	
 874	 w3	 1188	 6	 3.75J	
 880	 w2	 1188	 20	 12.5J	
 900	 w5	 1188	 35	 21.88J	
 935	 w2	 1188	 20	 12.5J	
 955	 w3	 1188	 45	 28.13J	























