RM  Scheduling

Start@	TskName	FreqMHz	ExecTim	Energy
 1	 w5	 1188	 35	 21.88J	
 36	 w2	 1188	 40	 25.0J	
 76	 w4	 1188	 57	 35.63J	
 133	 w3	 1188	 104	 65.0J	
 237	 w1	 1188	 53	 33.13J	
 290	 IDL	 IDL	 10	 0.84J	
 300	 w5	 1188	 20	 12.5J	
 320	 w2	 1188	 40	 25.0J	
 360	 w5	 1188	 15	 9.38J	
 375	 IDL	 IDL	 75	 6.3J	
 450	 w4	 1188	 50	 31.25J	
 500	 w3	 1188	 20	 12.5J	
 520	 w1	 1188	 53	 33.13J	
 573	 w4	 1188	 7	 4.38J	
 580	 w3	 1188	 20	 12.5J	
 600	 w5	 1188	 35	 21.88J	
 635	 w3	 1188	 5	 3.13J	
 640	 w2	 1188	 40	 25.0J	
 680	 w3	 1188	 59	 36.88J	
 739	 IDL	 IDL	 161	 13.52J	
 900	 w5	 1188	 35	 21.88J	
 935	 w4	 1188	 25	 15.63J	
 960	 w2	 1188	 40	 25.0J	



























